eff_dt,merchant_nm,cust_no
8/19/2017,PAPABUBBLE,2357378.8
8/6/2017,PAPABUBBLE,19627.8
8/26/2017,PAPABUBBLE,284066.2
8/18/2017,PAPABUBBLE,1821944.2
8/16/2017,PAPABUBBLE,533040.4
8/12/2017,PAPABUBBLE,2242761.2
8/6/2017,PAPABUBBLE,1204376
8/6/2017,PAPABUBBLE,2060560
8/19/2017,PAPABUBBLE,1020103.6
8/13/2017,PAPABUBBLE,61549.6
8/6/2017,PAPABUBBLE,1357369.8
8/5/2017,PAPABUBBLE,3830200.2
8/14/2017,GRAMEDIA,2890509.6
8/12/2017,GRAMEDIA,78178.4
